"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"B32055","Bartlett St at John Elliot Sq","Year Round","Boston",15,360,442.182023100429,0.442182023100429,"Roxbury Community College",497.39240887295,0.49739240887295,"Roxbury Crossing","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0901582, 42.3294633)
"B32056","Tremont St at Hamilton Pl","Year Round","Boston",19,374,144.981817023464,0.144981817023464,"Suffolk University",63.430854494337,0.063430854494337,"Park Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06166646, 42.35668335)
"B32058","Lansdowne T Stop","Year Round","Boston",27,400,254.456456881967,0.254456456881967,"Boston University",206.290341325516,0.206290341325516,"Blandford Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10016808, 42.34734473)
"B32059","Whittier St Health Center","Year Round","Boston",19,443,486.600465680576,0.486600465680576,"Roxbury Community College",344.218863382812,0.344218863382812,"Roxbury Crossing","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09218862, 42.33286288)
"B32060","700 Commonwealth Ave.","Year Round","Boston",16,446,348.256471853715,0.348256471853715,"Boston University",43.925222951149,0.043925222951149,"Boston University East","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10391524, 42.34960945)
"B32061","One Beacon St","Year Round","Boston",16,529,85.183905970246,0.085183905970246,"Suffolk University",180.211699455688,0.180211699455688,"Government Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0613513, 42.35847764)
"C32000","Tremont St at E Berkeley St","Year Round","Boston",19,4,79.2591138708626,0.0792591138708626,"Benjamin Franklin Cummings Institute of Technology",333.692160647406,0.333692160647406,"East Berkeley Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.069616, 42.345392)
"C32001","Roxbury Crossing T Stop - Columbus Ave at Tremont St","Year Round","Boston",23,27,217.021700249552,0.217021700249552,"Roxbury Community College",45.9430423771134,0.0459430423771134,"Roxbury Crossing","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.095171, 42.331184)
"C32003","Back Bay T Stop - Dartmouth St at Stuart St","Year Round","Boston",19,16,577.620883882021,0.57762088388202,"Benjamin Franklin Cummings Institute of Technology",133.255254050423,0.133255254050423,"Back Bay","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07657015, 42.34807412)
"C32004","Massachusetts Ave at Columbus Ave","Year Round","Boston",14,57,393.068612331029,0.393068612331029,"The New England Conservatory of Music",183.540048155795,0.183540048155795,"Massachusetts Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0816197, 42.340835)
"C32005","Washington St at Lenox St","Year Round","Boston",15,51,557.899696892619,0.557899696892619,"Boston University Chobanian & Avedisian School of Medicine",18.9677144733803,0.0189677144733803,"Lenox St","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07903779, 42.33509899)
"C32006","Washington St at Rutland St","Year Round","Boston",27,39,276.459187663972,0.276459187663972,"Boston University Chobanian & Avedisian School of Medicine",30.1787841458311,0.0301787841458311,"West Newton Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07404083, 42.3385146)
"C32007","Prudential Center - 101 Huntington Ave","Year Round","Boston",18,21,474.508561459125,0.474508561459125,"Boston Architectural College",94.7095598037477,0.0947095598037477,"Prudential","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08065777, 42.34652004)
"C32008","Boylston St at Fairfield St","Year Round","Boston",19,61,282.451728764437,0.282451728764437,"Boston Architectural College",350.983274411407,0.350983274411407,"Prudential","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08236909, 42.34880382)
"C32009","Dorchester Ave at Gillette Park","Year Round","Boston",15,63,795.050206658743,0.795050206658743,"Tufts University",163.09718813147,0.16309718813147,"Broadway","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05737627, 42.34404051)
"C32013","JFK/UMass T Stop","Year Round","Boston",31,93,1154.24538834749,1.15424538834749,"University of Massachusetts Boston",102.505923596324,0.102505923596324,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05118036, 42.32033974)
"C32014","University of Massachusetts Boston - Campus Center","Year Round","Boston",19,92,357.604567582039,0.357604567582039,"University of Massachusetts Boston",1419.63810320021,1.41963810320021,"Savin Hill","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03648586, 42.31218918)
"C32016","W Broadway at Dorchester St","Year Round","Boston",17,121,2062.7528960232,2.0627528960232,"Tufts University",1096.8841347962,1.0968841347962,"Andrew","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.046229, 42.33595898)
"C32017","South Boston Library - 646 E Broadway","Year Round","Boston",15,119,2383.41244165792,2.38341244165792,"University of Massachusetts Boston",1040.92271317432,1.04092271317432,"Design Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03877, 42.335741)
"C32020","ID Building East","Year Round","Boston",17,135,2832.97506481313,2.83297506481313,"Tufts University",50.8163669994162,0.0508163669994162,"27 Dry Dock Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.028664, 42.344827)
"C32021","ID Building West","Year Round","Boston",19,136,2597.20571361516,2.59720571361516,"Tufts University",59.0330556518356,0.0590330556518356,"Tide St","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.031614, 42.344796)
"C32022","Newmarket Square T Stop - Massachusetts Ave at Newmarket Square","Year Round","Boston",15,138,1186.87726720254,1.18687726720254,"Boston University Chobanian & Avedisian School of Medicine",874.771128460353,0.874771128460353,"Andrew","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.066498, 42.326599)
"C32023","Murphy Skating Rink - 1880 Day Blvd","Year Round","Boston",19,146,2790.41437795442,2.79041437795442,"University of Massachusetts Boston",829.821000802463,0.829821000802463,"88 Black Falcon Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.023739, 42.336448)
"C32024","State Street at Channel Center","Year Round","Boston",19,150,1045.42006372978,1.04542006372978,"Tufts University",412.902655422176,0.412902655422176,"Broadway","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.052608, 42.344137)
