"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"C32112","Meaney Playground - Pleasant St at E Cottage St","Year Round","Boston",17,NA,1390.91978241495,1.39091978241495,"Jupiter Beauty Academy",579.027955952542,0.579027955952542,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05889978, 42.31870275)
"C32113","Hancock St at Pleasant St","Year Round","Boston",19,NA,491.37957490526,0.49137957490526,"Jupiter Beauty Academy",549.166288420099,0.549166288420099,"Savin Hill","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06019938, 42.30981925)
"E32015","Lincoln St at Empire St","Year Round","Boston",19,NA,1080.6960970899,1.0806960970899,"Harvard University",705.903484621627,0.705903484621627,"Packards Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.128513, 42.357651)
"E32016","Commonwealth Ave at Naples Rd","Year Round","Boston",19,NA,1608.29556678935,1.60829556678935,"Boston Graduate School of Psychoanalysis Inc",118.155610037375,0.118155610037375,"Packards Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.123798, 42.351911)
"E32017","Butler T Stop","Year Round","Boston",15,NA,1041.90607988558,1.04190607988558,"Millennium Training Institute",36.9259382386147,0.0369259382386147,"Butler","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.062882, 42.272548)
"A32058","Tremont St at Court St","Year Round","Boston",23,NA,193.052108874615,0.193052108874615,"Suffolk University",13.8751317575534,0.0138751317575534,"Government Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.059624, 42.359322)
"D32004","Arch St at Franklin St","Winter Storage","Boston",31,35,348.703913661118,0.348703913661118,"Suffolk University",186.4693448078,0.1864693448078,"Downtown Crossing","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05822917, 42.35533502)
"D32047","Clarendon St at Newbury St","Winter Storage","Boston",19,384,432.293863318042,0.432293863318042,"Fisher College",269.902632621954,0.269902632621954,"Copley","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07561663, 42.35159662)
"E32008","Centre St at Seaverns Ave","Winter Storage","Boston",15,357,1345.81904633345,1.34581904633345,"Hellenic College-Holy Cross Greek Orthodox School of Theology",569.379752087993,0.569379752087993,"Green Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1142981, 42.3121203)
"D32058","Brighton Ave at Linden St","Winter Storage","Boston",19,567,1544.00043606613,1.54400043606613,"Boston Graduate School of Psychoanalysis Inc",291.104478138618,0.291104478138618,"Harvard Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1296752, 42.3528376)
"A32047","Broad St at Central St","Winter Storage","Boston",15,460,484.616368212898,0.484616368212898,"North Bennet Street School",222.398267923865,0.222398267923865,"Aquarium","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0542647, 42.35849449)
"C32101","American Legion Hwy at Hyde Park Ave","Winter Storage","Boston",19,543,4995.16330225738,4.99516330225738,"Hellenic College-Holy Cross Greek Orthodox School of Theology",2325.23839346207,2.32523839346207,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11990392, 42.27265394)
"D32012","Post Office Square","Winter Storage","Boston",19,48,555.553816407171,0.555553816407171,"Suffolk University",364.354338398841,0.364354338398841,"South Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05459746, 42.35585436)
"B32012","Northeastern University - North Parking Lot","Winter Storage","Boston",15,5,237.368361542206,0.237368361542206,"Northeastern University",200.803917948223,0.200803917948222,"Northeastern","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.090179, 42.341814)
"B32016","Beacon St at Massachusetts Ave","Winter Storage","Boston",19,53,272.19228161633,0.27219228161633,"New England College of Optometry",376.999086490833,0.376999086490833,"Hynes Convention Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08981088, 42.35082681)
"C32083","Washington St at Walsh Playground","Winter Storage","Boston",19,430,1468.4884234456,1.4684884234456,"Millennium Training Institute",787.023353166804,0.787023353166804,"Milton","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06955614, 42.2771947)
"C32084","Washington St at Fuller St","Winter Storage","Boston",15,431,1719.77082287536,1.71977082287536,"Millennium Training Institute",694.95988500766,0.69495988500766,"Ashmont","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07147925, 42.28198628)
"C32088","Central Ave at River St","Year Round","Boston",15,435,1673.61079726856,1.67361079726856,"Laboure College of Healthcare",108.621360099324,0.108621360099324,"Central Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07337901, 42.27094707)
"C32081","Washington St at Denton Terr","Winter Storage","Boston",19,427,4058.58890936093,4.05858890936093,"Hellenic College-Holy Cross Greek Orthodox School of Theology",2772.35633277989,2.77235633277989,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.13423757, 42.28072815)
"C32095","Bellevue T Stop","Winter Storage","Boston",19,511,3715.90277125734,3.71590277125734,"Hellenic College-Holy Cross Greek Orthodox School of Theology",3108.24441590471,3.10824441590471,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.14636928, 42.28611421)
"C32096","Knoll St at Centre St","Winter Storage","Boston",19,512,2656.98758982396,2.65698758982396,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1998.27047998482,1.99827047998482,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1365658, 42.29376656)
"C32078","Northbourne Rd at Hyde Park Ave","Winter Storage","Boston",19,421,3027.50771526756,3.02750771526756,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1105.60491298273,1.10560491298273,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11773666, 42.29118035)
"C32080","Mt. Hope St at Hyde Park Ave","Winter Storage","Boston",19,423,3682.8839757404,3.6828839757404,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1810.12751392208,1.81012751392208,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11874517, 42.28484472)
"C32100","Hyde Park Ave at Arlington St","Winter Storage","Boston",19,542,5217.10973109865,5.21710973109865,"Laboure College of Healthcare",2451.18048477703,2.45118048477703,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12163126, 42.26286746)
"C32012","Andrew T Stop - Dorchester Ave at Dexter St","Winter Storage","Boston",15,113,1414.36145270143,1.41436145270143,"Boston University Chobanian & Avedisian School of Medicine",68.9741494634397,0.0689741494634397,"Andrew","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05699851, 42.33073333)
"C32067","Washington St at Peters Park","Winter Storage","Boston",19,412,313.762507690874,0.313762507690874,"Benjamin Franklin Cummings Institute of Technology",119.445301101179,0.119445301101179,"East Berkeley Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06764555, 42.3438524)
"C32010","Congress St at Sleeper St","Winter Storage","Boston",19,64,1078.23270854138,1.07823270854138,"Tufts University",250.662469210696,0.250662469210696,"Courthouse","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04930013, 42.3510045)
"C32058","Ring Rd","Year Round - Currently Stored","Boston",15,352,438.748145738159,0.438748145738159,"Boston Architectural College",272.257519988575,0.272257519988575,"Copley","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08044855, 42.34827839)
"A32029","Piers Park","Winter Storage","Boston",15,211,1600.86257432316,1.60086257432316,"North Bennet Street School",566.121232117701,0.566121232117701,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03528559, 42.3650112)
"A32055","Airport T Stop - Bremen St at Brooks St","Year Round","Boston",15,214,730.725758245935,0.730725758245935,"East Boston Beauty Academy",142.157801525799,0.142157801525799,"Airport","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03131771, 42.37535377)
"A32034","Glendon St at Condor St","Winter Storage","Boston",19,216,459.286097309556,0.459286097309556,"East Boston Beauty Academy",675.64560340251,0.67564560340251,"Wood Island","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03024304, 42.38240378)
"A32037","Washington St at Egremont Rd","Winter Storage","Boston",15,354,787.432150944168,0.787432150944168,"Boston Graduate School of Psychoanalysis Inc",174.282528691135,0.174282528691135,"Washington Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.14127841, 42.34286835)
"A32043","Western Ave at Richardson St","Winter Storage","Boston",19,428,1812.01125433057,1.81201125433057,"Harvard University",1494.83253934649,1.49483253934649,"Warren Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.14393111, 42.36178741)
"A32048","Marion St at White St","Year Round","Boston",19,477,1120.51240423576,1.12051240423576,"East Boston Beauty Academy",1009.98858456166,1.00998858456166,"Airport","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03907316, 42.38066931)
"B32000","Newbury St at Hereford St","Winter Storage","Boston",23,52,29.0333797928849,0.0290333797928849,"Boston Architectural College",138.477505869706,0.138477505869706,"Hynes Convention Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.085954, 42.348717)
"B32025","Uphams Corner T Stop - Magnolia St at Dudley St","Winter Storage","Boston",15,199,1458.01278513791,1.45801278513791,"Gordon-Conwell Theological Seminary",1448.43024955966,1.44843024955966,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06978148, 42.31869734)
"B32030","Walnut Ave at Warren St","Winter Storage","Boston",15,204,399.561676922372,0.399561676922372,"Gordon-Conwell Theological Seminary",626.515679139338,0.626515679139338,"Nubian","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.083235, 42.324081)
"B32057","Blue Hill Ave at Southwood St","Winter Storage","Boston",15,368,1156.92936786794,1.15692936786794,"Gordon-Conwell Theological Seminary",1398.77053365868,1.39877053365868,"Nubian","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07798629, 42.31786021)
"C23045","Morton St T","Winter Storage","Boston",15,343,2865.99951038972,2.86599951038972,"Millennium Training Institute",1431.24753389549,1.43124753389549,"Valley Road","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08617242, 42.28072514)
"C32002","Boston Medical Center - E Concord St at Harrison Ave","Winter Storage","Boston",19,13,51.027694629129,0.051027694629129,"Boston University Chobanian & Avedisian School of Medicine",230.768378364604,0.230768378364604,"Worcester Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07306711, 42.33639915)
"C32018","E Cottage St at Columbia Rd","Winter Storage","Boston",19,128,1645.6673670467,1.6456673670467,"Jupiter Beauty Academy",790.903731654708,0.790903731654708,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06198, 42.320561)
"C32019","Uphams Corner","Winter Storage","Boston",15,130,1417.79595338285,1.41779595338285,"Jupiter Beauty Academy",1133.04396047487,1.13304396047487,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06537004, 42.31727474)
"C32031","Ryan Playground - Dorchester Ave at Harbor View St","Winter Storage","Boston",15,167,1259.63267979859,1.25963267979859,"Jupiter Beauty Academy",485.849773763811,0.485849773763811,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.056664, 42.317642)
"C32039","Park St at Norwell St","Year Round","Boston",15,255,2218.10421314544,2.21810421314544,"Jupiter Beauty Academy",1029.48137829986,1.02948137829986,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07821761, 42.29442579)
"C32042","Washington St at Bowdoin St","Winter Storage","Boston",15,259,1601.01596807574,1.60101596807574,"Jupiter Beauty Academy",920.598541702983,0.920598541702983,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07345872, 42.29916498)
"C32049","Thetford Ave at Norfolk St","Winter Storage","Boston",15,347,2501.76323374533,2.50176323374533,"Millennium Training Institute",1341.38297291254,1.34138297291254,"Ashmont","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07942931, 42.28621295)
"C32065","Adams St at Lonsdale St","Winter Storage","Boston",15,410,1628.33372568258,1.62833372568258,"Jupiter Beauty Academy",722.207012832487,0.722207012832487,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05726346, 42.29167943)
"D32026","Hayes Square - Vine St at Moulton St","Winter Storage","Boston",19,129,318.709117378796,0.318709117378796,"MGH Institute of Health Professions",1180.05150802348,1.18005150802348,"Community College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.056605, 42.377022)
"D32050","Blossom St at Charles St","Winter Storage","Boston",15,416,635.308608588244,0.635308608588244,"Hult International Business School",305.804391309261,0.305804391309261,"Science Park/West End","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06959369, 42.36435589)
"A32054","Addison St at Saratoga St","Winter Storage","Boston",19,563,1006.22003635244,1.00622003635244,"East Boston Beauty Academy",809.172087212381,0.809172087212381,"Eastern Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0151367, 42.38518147)
"C32015","Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave","Year Round","Boston",15,106,659.243354645667,0.659243354645667,"Gordon-Conwell Theological Seminary",842.108440516265,0.842108440516265,"Nubian","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.075354, 42.325333)
"A32046","Canal St at Causeway St","Winter Storage","Boston",23,459,590.401296725817,0.590401296725817,"North Bennet Street School",79.1081354458638,0.0791081354458638,"North Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.060922, 42.365301)
"K32001","Coolidge Corner - Beacon St at Centre St","Year Round","Brookline",19,69,845.759809064422,0.845759809064422,"Boston Graduate School of Psychoanalysis Inc",178.744013666906,0.178744013666906,"Coolidge Corner","NORFOLK",62962,"20-29 year olds",0.22,c(-71.123338, 42.341598)
"K32002","Beacon St at Tappan St","Year Round","Brookline",15,82,491.570088132855,0.491570088132855,"Boston Graduate School of Psychoanalysis Inc",50.1114478419443,0.0501114478419443,"Tappan Street","NORFOLK",62962,"20-29 year olds",0.22,c(-71.13894682, 42.3382668)
"K32003","Brookline Village - Station Street at MBTA","Year Round","Brookline",19,86,1047.4537589014,1.0474537589014,"Harvard University",49.0198627077044,0.0490198627077044,"Brookline Village","NORFOLK",62962,"20-29 year olds",0.22,c(-71.11626681, 42.33274392)
"K32004","JFK Crossing at Harvard St. / Thorndike St.","Year Round","Brookline",15,103,907.944040483035,0.907944040483035,"Boston Graduate School of Psychoanalysis Inc",482.292740404985,0.482292740404985,"Harvard Avenue","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12833211, 42.34655124)
"K32005","Brookline Town Hall","Year Round","Brookline",15,193,1200.49621943084,1.20049621943084,"Boston Graduate School of Psychoanalysis Inc",326.009996447816,0.326009996447816,"Brookline Village","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12046447, 42.33376473)
"K32006","Commonwealth Ave At Babcock St","Year Round","Brookline",15,226,1655.90587471452,1.65590587471452,"Harvard University",110.425098200475,0.110425098200475,"Babcock Street","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12126246, 42.35154735)
"K32007","St Mary's","Year Round","Brookline",15,233,563.792534452215,0.563792534452215,"Simmons University",23.639599849785,0.023639599849785,"Saint Marys Street","NORFOLK",62962,"20-29 year olds",0.22,c(-71.10728681, 42.34619708)
"K32008","Tappan St at Brookline Hills MBTA","Year Round","Brookline",15,191,1007.84344759026,1.00784344759026,"Boston Graduate School of Psychoanalysis Inc",15.3463113930449,0.0153463113930449,"Brookline Hills","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12688361, 42.33137017)
"K32009","Cypress St at Clark Playground","Year Round","Brookline",15,187,1242.97819721971,1.24297819721971,"Hellenic College-Holy Cross Greek Orthodox School of Theology",399.852741230259,0.399852741230259,"Brookline Hills","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12536222, 42.32784317)
"K32010","High St at Cypress St","Year Round","Brookline",15,401,1066.17839363483,1.06617839363483,"Hellenic College-Holy Cross Greek Orthodox School of Theology",861.362573355911,0.861362573355911,"Brookline Hills","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12135231, 42.32464511)
"K32012","Marion St at Harvard St","Year Round","Brookline",15,403,1023.73911816936,1.02373911816936,"Boston Graduate School of Psychoanalysis Inc",230.606737110961,0.230606737110961,"Coolidge Corner","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12070564, 42.34012243)
"K32011","Washington Sq","Year Round","Brookline",15,402,118.411981218995,0.118411981218995,"Boston Graduate School of Psychoanalysis Inc",111.812475118209,0.111812475118209,"Washington Square","NORFOLK",62962,"20-29 year olds",0.22,c(-71.13421171, 42.33985827)
"K32015","1200 Beacon St","Year Round","Brookline",15,452,805.101298898255,0.805101298898255,"Simmons University",35.0107512701079,0.0350107512701079,"Kent Street","NORFOLK",62962,"20-29 year olds",0.22,c(-71.11467361, 42.34414899)
"K32017","Harvard St and Stedman St","Year Round","Brookline",15,531,885.196171517826,0.885196171517826,"Boston Graduate School of Psychoanalysis Inc",376.624404001316,0.376624404001316,"Summit Avenue","NORFOLK",62962,"20-29 year olds",0.22,c(-71.12490356, 42.34435176)
"M32002","One Kendall Square at Hampshire St / Portland St","Year Round","Cambridge",19,91,729.832270729307,0.729832270729307,"Massachusetts Institute of Technology",623.267884104882,0.623267884104882,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.09169, 42.366277)
"M32003","One Broadway / Kendall Sq at Main St / 3rd St","Year Round","Cambridge",23,72,779.460729876812,0.779460729876812,"Massachusetts Institute of Technology",253.856809765441,0.253856809765441,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08311072, 42.36224179)
"M32004","Kendall T","Year Round","Cambridge",23,189,649.787936986023,0.649787936986023,"Massachusetts Institute of Technology",101.623370177352,0.101623370177352,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08495474, 42.36242784)
"M32005","MIT Stata Center at Vassar St / Main St","Year Round","Cambridge",35,80,276.519953578651,0.276519953578651,"Massachusetts Institute of Technology",409.116048620956,0.409116048620956,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.09115601, 42.36213123)
"M32006","MIT at Mass Ave / Amherst St","Year Round","Cambridge",27,67,206.517533655937,0.206517533655937,"Massachusetts Institute of Technology",749.444293533855,0.749444293533855,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.093198, 42.3581)
"M32007","Cambridge St - at Columbia St / Webster Ave","Year Round","Cambridge",15,95,1487.68186371914,1.48768186371914,"Massachusetts Institute of Technology",502.594089394541,0.502594089394541,"Union Square","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.094445, 42.372969)
"M32009","Lafayette Square at Mass Ave / Main St / Columbia St","Year Round","Cambridge",15,75,821.265136858777,0.821265136858777,"Massachusetts Institute of Technology",345.867263224765,0.345867263224765,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10057324, 42.36346469)
"M32011","Central Square at Mass Ave / Essex St","Year Round","Cambridge",19,68,1091.80406114537,1.09180406114537,"Massachusetts Institute of Technology",72.4004648710848,0.0724004648710847,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.1031, 42.36507)
"M32012","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","Year Round","Cambridge",17,76,1257.07557327812,1.25707557327812,"Harvard University",175.620388987612,0.175620388987612,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.105495, 42.366426)
"M32013","Cambridge Main Library at Broadway / Trowbridge St","Year Round","Cambridge",19,96,362.246893534281,0.362246893534281,"Harvard University",647.349688975085,0.647349688975084,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.111075, 42.373379)
"M32014","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","Year Round","Cambridge",15,87,703.957416943914,0.703957416943914,"Harvard University",863.559317187034,0.863559317187034,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.114214, 42.366621)
"M32016","Harvard Kennedy School at Bennett St / Eliot St","Year Round","Cambridge",23,70,136.342998763864,0.136342998763864,"Harvard University",316.74509656486,0.31674509656486,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.12188071, 42.3722168)
"M32017","Harvard Square at Brattle St / Eliot St","Year Round","Cambridge",15,73,273.117354213118,0.273117354213118,"Harvard University",187.774798143704,0.187774798143704,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.12098601, 42.3733288)
"M32018","Harvard Square at Mass Ave/ Dunster","Year Round","Cambridge",19,74,346.204607039559,0.346204607039559,"Harvard University",88.8070556352205,0.0888070556352205,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.118579, 42.373268)
"M32019","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","Year Round","Cambridge",15,84,597.74680822329,0.59774680822329,"Hult International Business School",506.227724527736,0.506227724527736,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.07679278, 42.36707407)
"M32020","Harvard Law School at Mass Ave / Jarvis St","Year Round","Cambridge",19,89,91.1965332023549,0.0911965332023549,"Harvard University",560.483564744266,0.560483564744266,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.119945, 42.379011)
"M32021","Harvard University Gund Hall at Quincy St / Kirkland St","Year Round","Cambridge",15,110,58.3461438571037,0.0583461438571037,"Harvard University",477.969269419887,0.477969269419887,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.114025, 42.376369)
"M32022","Lower Cambridgeport at Magazine St / Riverside Rd","Year Round","Cambridge",19,105,1255.80493596798,1.25580493596798,"Harvard University",698.613612243504,0.698613612243504,"Amory Street","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.11387163, 42.3572185)
"M32023","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","Year Round","Cambridge",17,108,205.114040080686,0.205114040080686,"Harvard University",466.579236987995,0.466579236987995,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.116865, 42.377945)
"M32024","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","Year Round","Cambridge",19,104,238.98587298683,0.23898587298683,"Longy School of Music of Bard College",862.340550223256,0.862340550223256,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.125107, 42.380287)
"M32025","Linear Park - Mass. Ave at Cameron Ave","Year Round","Cambridge",19,NA,1552.88808868328,1.55288808868328,"Tufts University",690.53158379089,0.69053158379089,"Davis","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.130516, 42.397828)
"M32026","359 Broadway - Broadway at Fayette Street","Year Round","Cambridge",23,116,963.812594445586,0.963812594445586,"Harvard University",598.291610007459,0.598291610007459,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.104412, 42.370803)
"M32027","Binney St / Sixth St","Year Round","Cambridge",19,117,845.860190597026,0.845860190597026,"Massachusetts Institute of Technology",408.550562826586,0.408550562826586,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08633604, 42.36608797)
"M32029","Porter Square Station","Year Round","Cambridge",19,115,869.194831357969,0.869194831357969,"Lesley University",36.2767531371455,0.0362767531371455,"Porter","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.119084, 42.387995)
"M32030","Dana Park","Year Round","Cambridge",19,139,1310.627263631,1.310627263631,"Harvard University",537.503910973385,0.537503910973385,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10809952, 42.36178044)
"M32031","Danehy Park","Year Round","Cambridge",17,140,913.583071211927,0.913583071211927,"Harvard-Smithsonian",1102.24394383179,1.10224394383179,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.132788, 42.388966)
"M32032","Kendall Street","Year Round","Cambridge",17,141,911.052414859781,0.911052414859781,"Massachusetts Institute of Technology",354.243583356552,0.354243583356552,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08216792, 42.36356016)
"M32033","Alewife Station at Russell Field","Year Round","Cambridge",23,142,1872.12108848725,1.87212108848725,"Harvard-Smithsonian",215.01715180577,0.21501715180577,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.139459, 42.396105)
"M32034","EF - North Point Park","Year Round","Cambridge",23,143,62.4975174116699,0.0624975174116699,"Hult International Business School",393.904842109549,0.393904842109549,"Science Park/West End","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.069957, 42.369885)
"M32035","Rogers St & Land Blvd","Year Round","Cambridge",19,144,622.765539492547,0.622765539492547,"Hult International Business School",575.456448544279,0.575456448544279,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.07654601, 42.36644674)
"M32036","Rindge Avenue - O'Neill Library","Year Round","Cambridge",19,145,1250.28516732821,1.25028516732821,"Harvard-Smithsonian",713.435263137501,0.713435263137501,"Davis","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.129042, 42.392766)
"M32037","Ames St at Main St","Year Round","Cambridge",19,107,436.172813353296,0.436172813353296,"Massachusetts Institute of Technology",166.931206838901,0.166931206838901,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08822, 42.3625)
"M32038","Harvard University River Houses at DeWolfe St / Cowperthwaite St","Year Round","Cambridge",21,97,466.175989732602,0.466175989732602,"Harvard University",558.27901104981,0.55827901104981,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.11687034, 42.36923907)
"M32039","Lesley University","Year Round","Cambridge",15,176,731.850906404325,0.731850906404325,"Lesley University",175.025391196793,0.175025391196793,"Porter","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.11901879, 42.38674802)
"M32040","University Park","Year Round","Cambridge",19,177,741.090731964249,0.741090731964249,"Massachusetts Institute of Technology",438.224575675867,0.438224575675867,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10006094, 42.36264779)
"M32041","MIT Pacific St at Purrington St","Year Round","Cambridge",19,178,767.123755512233,0.767123755512233,"Massachusetts Institute of Technology",684.680843196745,0.684680843196745,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10129476, 42.3595732)
"M32042","MIT Vassar St","Year Round","Cambridge",53,179,753.419441144386,0.753419441144386,"Boston University",655.039095520042,0.655039095520042,"Boston University East","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10394478, 42.35560121)
"M32043","Mt Auburn","Year Round","Cambridge",19,180,864.582722076457,0.864582722076457,"Harvard-Smithsonian",1177.39336928764,1.17739336928764,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.13320231, 42.37478629)
"M32044","Huron Ave At Vassal Lane","Year Round","Cambridge",19,181,514.627093655689,0.514627093655689,"Harvard-Smithsonian",1448.96160831627,1.44896160831627,"Porter","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.13426981, 42.38165061)
"M32045","Museum of Science","Year Round","Cambridge",19,182,260.839522641484,0.260839522641484,"Hult International Business School",299.995330473946,0.299995330473946,"Science Park/West End","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.07116282, 42.36769018)
"M32046","Alewife MBTA at Steel Place","Year Round","Cambridge",19,183,1968.56419441081,1.96856419441081,"Harvard-Smithsonian",73.4351972966953,0.0734351972966953,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.14260614, 42.39558846)
"M32047","Sidney Research Campus/Erie Street at Waverly","Year Round","Cambridge",19,184,971.284474057948,0.971284474057948,"Boston University",854.786771158031,0.854786771158031,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10393405, 42.35775309)
